id,name,salary,birthdate,hiredSince,FK_company,FK_pensionFUnd
1,Carmella Prydie,23937.15,1987-08-25,1991,105,28
2,Allix Craddy,28949.33,2011-03-03,1999,327,30
3,Zelda Plover,29192.82,1998-08-30,1997,234,17
4,Durand Giacoboni,33613.2,1976-10-27,1985,280,34
5,Kareem Kubera,46250.51,1960-11-05,1975,102,28
6,Chloette Pallasch,10118.62,1994-01-12,2002,362,55
7,Adolphus Dunn,13146.96,1989-12-29,1990,197,70
8,Caril Vanin,49528.3,2001-07-29,2002,423,25
9,Maury Mutimer,23129.32,1975-10-02,2007,150,64
10,Arlyne Kernell,38313.77,1986-01-02,2006,126,65
11,Crissie Mowsdale,32042.06,1997-10-26,2009,358,29
12,Henrietta Wedderburn,43068.03,1965-10-01,1977,149,58
13,Zara Brumbie,11814.18,1992-06-18,1986,303,10
14,Emera Jodlkowski,26466.84,1977-06-02,2017,151,62
15,Herbert Lesmonde,48959.14,1975-11-30,2018,104,42
16,Ibrahim Daveridge,22203.27,1998-01-02,1990,300,68
17,Nat Mathews,46802.98,1995-07-25,1996,105,42
18,Vinnie Pogosian,17271.32,1996-03-13,2008,484,67
19,Berky Bitterton,14381.24,1963-06-02,2017,285,41
20,Dede Pennicott,19345.45,1967-12-18,1993,187,30
21,Michael Juza,41995.43,1971-01-20,2002,212,1
22,Claudian Kingsbury,25390.08,2012-04-12,1977,474,30
23,Bettine Brown,27569.33,1972-12-31,1987,59,7
24,Dody Illing,47313.42,1970-09-20,2017,49,19
25,Goldarina Wilfinger,23241.66,1997-02-07,2002,381,29
26,Wilden Ofield,28863.42,1964-01-31,2012,194,63
27,Greg Maplethorpe,18594.39,1960-04-05,1989,475,17
28,Simon Spinello,30834.54,1967-11-19,2003,346,28
29,Pammy Bowers,31968.07,1984-08-27,2004,385,53
30,Sher Pimlott,46121.11,2006-02-08,2001,466,74
31,Tally Hussy,48033.58,2009-11-08,1991,276,39
32,Fredi Garstang,17226.27,1986-11-08,1998,51,75
33,Gabriellia Vasilchenko,16907.12,1978-10-18,2016,210,44
34,Arlina Copsey,27880.2,2010-10-05,2005,69,10
35,Letti Dowbakin,42959.83,1995-04-15,1999,409,64
36,Maude Zecchii,32597.93,2009-01-06,1996,283,33
37,Stanislas Messam,35903.44,1999-01-21,1999,309,12
38,Rossy Christopher,22677.7,2007-02-23,1988,204,21
39,Tasia Schiell,37253.43,1994-03-31,2005,125,34
40,Venita Duck,18824.0,1969-01-10,1991,448,55
41,Lianne Whiteman,12912.46,1964-12-05,1987,191,51
42,Elijah Wetheril,44602.1,2008-06-27,1983,12,23
43,Gill Lutty,38841.0,1982-04-22,1986,426,44
44,Cassandra Kreber,17698.36,1962-04-07,2021,491,66
45,Wash Bohl,11224.37,1997-03-31,1996,286,12
46,Michal Burnett,34764.51,1992-08-27,1986,398,9
47,Jayson Sibbert,23431.2,1961-06-21,1999,81,16
48,Andeee Cratchley,41918.08,1968-12-27,2009,127,6
49,Davis Hamstead,12935.35,1962-01-31,1999,116,48
50,Shoshana Shelliday,39428.32,1996-10-09,1985,477,21
51,Ivette Gregorowicz,29809.91,2008-02-16,1978,288,45
52,Godwin Norwood,40293.7,1975-03-05,2011,309,63
53,Mortie East,24102.91,1966-06-04,1995,5,1
54,Jillian Dight,29517.08,1990-01-11,2009,303,3
55,Tiffanie Oven,43459.78,1974-03-31,2007,159,46
56,Killy Mauger,24645.87,1994-11-12,1988,478,59
57,Del Kember,40443.66,2008-09-11,2008,443,60
58,Brunhilde Boothman,25780.92,2007-03-11,1989,230,42
59,Tripp Lighten,33841.32,1962-10-06,2000,475,63
60,Idell Abbitt,11697.62,1980-03-11,1988,329,74
61,Belva Mion,26665.09,2002-02-13,2013,405,53
62,Lamar Waple,35663.15,2002-09-14,2020,383,27
63,Faina Booty,39343.92,1970-08-24,1995,119,43
64,Port Marcus,39760.02,2009-01-04,2006,95,62
65,Annora Vella,42380.06,1966-02-12,1978,466,22
66,Marianna Triswell,39438.57,1986-11-13,1981,265,31
67,Flss MacCracken,13506.18,1989-02-03,2009,430,58
68,Antonie Pegg,43793.55,1976-01-11,1980,238,71
69,Guillema Durrett,48789.32,2009-10-06,2004,24,43
70,Torre Laflin,37943.1,1982-09-29,2013,196,13
71,Katherine Cardinal,32566.52,1991-03-22,2016,245,17
72,Faun Abbatini,11677.81,1966-12-08,2008,212,28
73,Donny Stedell,14225.1,1989-12-01,1985,396,59
74,Mord Pomfrett,10339.14,1963-11-16,1976,10,55
75,Mickie Tesmond,13707.76,2004-06-29,2005,426,20
76,Ilyse Tunbridge,16972.52,1974-11-12,2000,500,33
77,Haslett Reedy,44493.66,2002-05-07,1976,154,9
78,Temp Ridolfi,13829.54,1985-07-26,1975,400,52
79,Ddene Faier,13451.45,1987-02-24,1978,481,53
80,Isa Chesser,14192.84,1974-10-24,1994,132,14
81,Emlen Hayesman,34778.1,1994-08-10,1993,431,29
82,Gordy Ebbs,10215.06,1973-04-25,1990,263,38
83,Benedicto Kembley,27802.47,1978-08-20,2006,287,27
